main-news,MSRpar,2012test,0,4.4,The problem likely will mean corrective changes before the shuttle fleet starts flying again.,He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again.,,,,,,,,,,,
main-news,MSRpar,2012test,29,4.4,Microsoft acquired Virtual PC when it bought the assets of Connectix earlier this year.,Microsoft acquired Virtual PC from its developer Connectix earlier this year.,,,,,,,,,,,
main-news,MSRpar,2012test,32,3.4,Leon Williams' body was found inside his third-floor apartment at 196 Bay St. in Tompkinsville.,The dead man The dead man Leon Williams was found in his third-floor apartment.,,,,,,,,,,,
main-news,MSRpar,2012test,33,4,It's the first such drill since the September 11 terrorist attacks on New York and Washington.,It is the nation's first large-scale counterterrorism exercise since the Sept. 11 terrorist attacks.,,,,,,,,,,,
main-news,MSRpar,2012test,35,4.8,Ursel Reisen confirmed it operated the coach but gave no details other than to say the passengers were of mixed ages.,Ursel Reisen confirmed it had been operating the coach but declined to give details of the passengers other than to say they were of mixed ages.,,,,,,,,,,,
main-news,MSRpar,2012test,36,3.6,A total of 17 cases have been confirmed in the southern city of Basra the Organization said.,A total of 17 confirmed cases of cholera were reported yesterday by the World Health Organisation in the southern Iraqi city of Basra.,,,,,,,,,,,
main-news,MSRpar,2012test,37,3.4,He was also expected to visit Yemen and Bahrain during his tour of the region. ,Khatami who arrived in Beirut Monday who arrived in Beirut Monday was also to visit Syria Yemen and Bahrain.,,,,,,,,,,,
main-news,MSRpar,2012test,38,3.6,General Myers told reporters that at first blush it doesn't look like any rules were broken.,"At first blush it doesn't look like any rules were broken  said Gen. Richard Myers, chairman of the Joint Chiefs of Staff.",,,,,,,,,,,
main-news,MSRpar,2012test,39,3.4,"Proving that the Millville son's sacrifice would not go unsung, Mayor James Quinn ordered all city flags flown at half-mast for the next 30 days.","In Millville yesterday, Mayor James Quinn ordered all city flags flown at half-staff for the next 30 days.",,,,,,,,,,,
main-news,MSRpar,2012test,41,4.25,"Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said that scenario is one among many that investigators are considering.","Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said investigators are considering the scenario.",,,,,,,,,,,
main-news,MSRpar,2012test,42,4.25,They found molecules that can only be produced when ozone breaks down cholesterol.,And all of the samples contained molecules that can only be produced when cholesterol interacts with ozone.,,,,,,,,,,,
main-news,MSRpar,2012test,44,3.846,It can store more than a gigabyte of information equivalent to around 12 hours of music in one cubic centimetre.,"And it can store more than a gigabyte of information - equivalent to 1,000 high quality images or around 12 hours of music - in just one cubic centimetre.",,,,,,,,,,,
main-news,MSRpar,2012test,45,1.2,"Earlier this month, RIM had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share.",Excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share.,,,,,,,,,,,
main-news,MSRpar,2012test,49,3.2,For me the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents according to extracts released yesterday.,For me the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents Mrs Clinton writes.,,,,,,,,,,,
main-news,MSRpar,2012test,50,3.8,"In 2001 and 2002, wire transfers from 4 of the company's 40 accounts totaled more than $3.2 billion, prosecutors said.","Wire transfers from four of the 40 accounts open at Beacon Hill totaled more than $3.2 billion from 2001 to 2002, Morgenthau said.",,,,,,,,,,,
main-news,MSRpar,2012test,51,3.2,"Stony Brook University launched the study in 1996, after earlier studies indicated a possible connection between electromagnetic fields and cancer.","The State University at Stony Brook launched the study in 1996, after earlier studies indicated a possible connection.",,,,,,,,,,,
main-news,MSRpar,2012test,52,4,"Earlier, they had defied a police order and cried Allahu Akbar (God is Greatest) as Bashir walked to his seat in the tightly guarded courtroom.",Earlier Bashir's supporters had defied a police order and cried Allahu Akbar (God is Greatest) as he walked to his seat.,,,,,,,,,,,
main-news,MSRpar,2012test,53,3.333,Metropolitan Ambulance spokesman James Howe said five people were taken to hospital and three were treated at the scene after yesterday's incident.,Spokesman James Howe said five children aged between 4 and 17 were taken to hospital with neck and chest injuries while three others were treated at the scene.,,,,,,,,,,,
main-news,MSRpar,2012test,55,2,But it is clear that the Joint Intelligence Committee was not involved.,This report was cleared by the Joint Intelligence Committee.,,,,,,,,,,,
main-news,MSRpar,2012test,56,2.6,About 22% of twentysomethings are obese which is roughly 30 pounds over a healthy weight.,About 31 percent of Americans are now obese ƒ?? roughly 30 or more pounds over a healthy weight.,,,,,,,,,,,
main-news,MSRpar,2012test,57,3,Coupling an American version of a hit British comedy will get the valuable Thursday 9:30 p.m. time slot.,Coupling an American version of a hit British comedy will couple with Friends on Thursdays.,,,,,,,,,,,
main-news,MSRpar,2012test,59,2.6,Her body was found several weeks later in the Green River. 44058,1982: Remains of Chapman Hinds and Mills are found in the Green River.,,,,,,,,,,,
main-news,MSRpar,2012test,61,2.8,Fighting continued until midnight western rebel commander Ousmane Coulibaly told Reuters by satellite phone on Sunday. They ransacked and burned the two villages completely,They ransacked and burned the two villages completely. Rebel commander Ousmane Coulibaly told Reuters by satellite phone from the bush.,,,,,,,,,,,
main-news,MSRpar,2012test,62,3,The reading for both August and July is the best seen since the survey began in August 1997.,It is the highest reading since the index was created in August 1997.,,,,,,,,,,,
main-news,MSRpar,2012test,64,3.2,"US Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline, which transports crude from Colombia's second-biggest oil field.",U.S. Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline.,,,,,,,,,,,
main-news,MSRpar,2012test,67,2.6,"We need a certifiable pay as you go budget by mid-July or schools wont open in September, Strayhorn said.","Texas lawmakers must close a $185.9 million budget gap by the middle of July or the schools wont open in September, Comptroller Carole Keeton Strayhorn said Thursday.",,,,,,,,,,,
main-news,MSRpar,2012test,68,2.5,Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.,"Shares of Hartford were up $2.28, or 5.2 percent, to $45.90 in midday trading.",,,,,,,,,,,
main-news,MSRpar,2012test,69,4.5,The DVD-CCA then appealed to the state Supreme Court.,The DVD CCA appealed that decision to the U.S. Supreme Court.,,,,,,,,,,,
main-news,MSRpar,2012test,71,3.25,Country-music station KKCS has suspended two disc jockeys for playing songs by the Dixie Chicks in violation of a ban imposed after one group member criticized President George Bush.,"A radio station has suspended two disc jockeys for locking themselves in the studio and continuously playing Dixie Chicks songs, violating the station's two-month-old ban on the group's music.",,,,,,,,,,,
main-news,MSRpar,2012test,74,4,"Sovereign's shares lost 74 cents, or 4.5%, to $15.68.","Sovereign shares closed on the New York Stock Exchange at $15.68, down 74 cents, or 4.5 percent.",,,,,,,,,,,
main-news,MSRpar,2012test,75,2.2,"Aspen Technology's shares dropped 74 cents, or 23 percent, to close at $2.48 on the Nasdaq.","In afternoon trading, Aspen's shares were off 89 cents or more than 27 percent at $2.33 per share.",,,,,,,,,,,
main-news,MSRpar,2012test,76,2.8,The new law requires libraries and schools to use filters or lose federal financing.,The 6-3 ruling reinstates a law that told libraries to install filters or surrender federal money.,,,,,,,,,,,
main-news,MSRpar,2012test,77,3.6,"In addition, it offered the United States and Israel a way to work around Mr. Arafat.","When the prime minister's position was established in the spring, it offered the United States and Israel a way to work around Arafat.",,,,,,,,,,,
main-news,MSRpar,2012test,78,2.6,"And yes, Marilyn Monroe is definitely part of the story, titled Arthur Miller Elia Kazan and the Blacklist: None Without Sin. Note the subheading of this terrible parable in the American Masters series",Arthur Miller Elia Kazan and the Blacklist: None Without Sin.,,,,,,,,,,,
main-news,MSRpar,2012test,79,3.8,Gilroy police and FBI agents described Gehring as cooperative but said Saturday that he had revealed nothing about what had happened to the children.,Saturday officials in California described Gehring as cooperative ƒ?? but said he has revealed nothing about what has happened to the children.,,,,,,,,,,,
main-news,MSRpar,2012test,80,3.2,Scribner's body was found floating in the city's Portage Bay where he lived with his wife in a houseboat.,A kayaker found Dr. Scribner's body floating near the doctor's houseboat in Portage Bay where he was eating lunch when his wife Ethel left for an appointment.,,,,,,,,,,,
main-news,MSRpar,2012test,81,5,After protesters rushed the stage and twice cut power to the microphone Hedges drew the speech to an early close.,After protesters rushed the stage and twice cut power to the microphone Hedges cut his speech short.,,,,,,,,,,,
main-news,MSRpar,2012test,82,4,A passer-by found Ben hiding along a dirt road in Spanish Fork Canyon about 7 p.m. with his hands still taped together but his feet free.,A passer-by found the boy hiding along a dirt road in Spanish Fork Canyon about 7 p.m. Thursday A passer-by found the boy hiding along a dirt road in Spanish Fork Canyon about 7 p.m. Thursday with his feet free but his hands still taped.,,,,,,,,,,,
main-news,MSRpar,2012test,84,5,Doctors say one or both boys may die and that some brain damage is possible if they survive.,Doctors said that one or both of the boys may die and that if they survive some brain damage is possible.,,,,,,,,,,,
main-news,MSRpar,2012test,88,2.2,Also missing is Al Larsen 31 of Fort Worth Texas who was in another vehicle swept off the turnpike.,The other victim recovered Tuesday morning was Al Larsen 31 of Fort Worth Texas.,,,,,,,,,,,
main-news,MSRpar,2012test,89,4.2,British-based GlaxoSmithKline Plc said earlier this year it would cut off supplies to Canadian drugstores that ship to the United States.,GlaxoSmithKline the UK drugmaker has said it would cut off supplies to Canadian stores shipping drugs to the US.,,,,,,,,,,,
main-news,MSRpar,2012test,90,2.818,The festival kicked off yesterday one day after the Competition Commission delivered its final verdict to the Government on the proposed ?œ4.1 billion merger.,The Competition Commission delivered its verdict yesterday on the proposed merger of the two big ITV players Carlton and Granada.,,,,,,,,,,,
main-news,MSRpar,2012test,95,3.875,She said he persisted and she eventually allowed him to fix her bike while she sat in the front seat of his car.,She said she eventually allowed him to fix her bike while she sat in his car and they chatted.,,,,,,,,,,,
main-news,MSRpar,2012test,97,4.4,Daniels said he doesn't know what Bush will have to say about him at tonight's $2000-per-person presidential fund-raiser.,Daniels said he doesn't know what Bush will say at tonight's $2000-per-person reception to raise funds for his presidential re-election bid.,,,,,,,,,,,
main-news,MSRpar,2012test,98,2.8,A three-judge panel of the 11th U.S. Circuit Court of Appeals ruled late Friday that the small size limited use and secular purpose make the image legitimate.,A three-judge panel of the 8th U.S. Circuit Court of Appeals in St. Louis overturned a ruling issued last year that supported the ordinance.,,,,,,,,,,,
main-news,MSRpar,2012test,102,3.8,Only 29 families of frogs are known and most were identified and described in the mid-1800s and the last in 1926.,Only 29 families of frogs are known most of which were named by the mid-1800s.,,,,,,,,,,,
main-news,MSRpar,2012test,103,4.4,Officials at Brandeis said this was an extremely heartrending time for the campus.,This is an extremely heartrending time for the entire Brandeis University community.,,,,,,,,,,,
main-news,MSRpar,2012test,106,5,The value will total about $124 million including convertible securities according to Corel.,Including convertible securities the total estimated value of the deal is $124 million according to Corel.,,,,,,,,,,,
main-news,MSRpar,2012test,109,3,He started in the 1983 Super Bowl which Miami lost 27-17 to Washington.,He played four seasons in Miami including the Dolphins' 27-17 loss to Washington in the Super Bowl.,,,,,,,,,,,
main-news,MSRpar,2012test,112,2.667,Nterprise Linux Services is expected to be available before then end of this year.,Beta versions of Nterprise Linux Services are expected to be available on certain HP ProLiant servers in July.,,,,,,,,,,,
main-news,MSRpar,2012test,113,2.333,Excluding one-time items the company enjoyed a profit of 6 cents a share.,Excluding one-time items it expects profit of 11 cents to 15 cents a share.,,,,,,,,,,,
main-news,MSRpar,2012test,114,3,But I do question the motives of a deskbound president who assumes the garb of a warrior for the purposes of a speech.,Byrd speaking from the Senate floor said he questioned the motives of a deskbound president who assumes the garb of a warrior for purposes of a speech.,,,,,,,,,,,
main-news,MSRpar,2012test,115,1.333,The broader Standard & Poor's 500 Index .SPX fell 3 points or 0.30 percent to 995.,"The technology-laced Nasdaq Composite Index <.IXIC> added 1.92 points, or 0.12 percent, at 1,647.94. or 0.12 percent at 1647.94.",,,,,,,,,,,
main-news,MSRpar,2012test,116,3.8,Instead tickets for the Jersey jam went on sale last night through Ticketmaster.,Tickets available through Ticketmaster went on sale yesterday.,,,,,,,,,,,
main-news,MSRpar,2012test,117,3.4,Earlier on Monday Grant Thornton SpA repeated previous statements that it was a victim of fraudulent action.,Grant Thornton claims that it too was the ƒ??victimƒ?? of a fraud.,,,,,,,,,,,
main-news,MSRpar,2012test,118,2,Peter Lyman and Hal Varian of Berkeley's School of Information Management and Systems say that information production has increased by 30 percent each year between 1999 and 2002.,That task appealed to two masters of the megabyte Peter Lyman and Hal Varian professors at the University of California-Berkeley's School of Information Management and Systems.,,,,,,,,,,,
main-news,MSRpar,2012test,119,3.4,My judgment is 95 percent of that information should be declassified become uncensored so the American people would know.,My judgment is 95 percent of that information could be declassified become uncensored so the American people would know become uncensored so the American people would know Mr. Shelby said on NBC's Meet the Press.,,,,,,,,,,,
main-news,MSRpar,2012test,120,4,The researchers found only empty cavities and scar tissue where the tumors had been.,No tumors were detected; rather empty cavities and scar tissue were found in their place.,,,,,,,,,,,
main-news,MSRpar,2012test,121,2.8,Washington however said more was needed to prevent complaints being filed in the first place.,But the US insisted it wanted more done to prevent complaints being filed in the first place preferably by repealing the entire law.,,,,,,,,,,,
main-news,MSRpar,2012test,122,3.2,After 26 hours of surgery and a year of anticipation the boys were separated Sunday at Children's Medical Center of Dallas.,Two-year-old Egyptian twin boys born with their heads conjoined have been separated after 26 hours of surgery at the Children's Medical Centre in Dallas.,,,,,,,,,,,
main-news,MSRpar,2012test,123,3.6,Pines said he would convene the relevant party bodies within 10 days to discuss whether new elections would be held or whether a temporary leader would be appointed.,Mitzna and party secretary Ophir Pines agreed to convene party organizations within 10 days to discuss whether new primaries would be held or a temporary leader appointed.,,,,,,,,,,,
main-news,MSRpar,2012test,125,3.6,The euro soared to US$1.1914 in Asian trading before slipping back slightly to US$1.1895 as trading opened in Europe.,The euro soared to $1.1914 in Asian trading before slipping back to $1.1884 in late European trading up from $1.1857 late Monday.,,,,,,,,,,,
main-news,MSRpar,2012test,126,4.2,Abbas told the summit he would end the armed intefadeh renounced terrorism against the Israelis wherever they might be and alluded to the disarming of militants.,At Wednesday's summit Abbas pledged to end the armed intefadeh renounced terrorism against the Israelis wherever they might be and alluded to the disarming of militants.,,,,,,,,,,,
main-news,MSRpar,2012test,130,3.25,Cmdr. Rod Gibbons an academy spokesman said The academy is shocked and saddened.,Naval Academy spokesman Cmdr. Rod Gibbons said: ``Today's announcement came as a surprise.,,,,,,,,,,,
main-news,MSRpar,2012test,132,2.75,Shares of LendingTree rose $6.21 or 42 percent to $20.90 after hitting $21.36 earlier.,LendingTree shares rose 43 percent or $6.31 to $21 more than doubling in the last two months.,,,,,,,,,,,
main-news,MSRpar,2012test,133,2.5,Last week his lawyers asked Warner to grant clemency under conditions that would have lead to a new sentencing hearing.,Last week his lawyers asked Gov. Mark R. Warner to grant clemency but the governor declined to intervene.,,,,,,,,,,,
main-news,MSRpar,2012test,135,1.75,"I think it should have been released years ago  said Brian Rohrbough, whose son, Daniel, was killed at Columbine.","Brian Rohrbough, whose son, Daniel, was killed at Columbine, said the tape raises disturbing issues.",,,,,,,,,,,
main-news,MSRpar,2012test,136,4.25,CIA Director George Tenet said the two men were defined by dedication and courage.,[They] were defined by dedication and courage said the CIA's director George Tenet.,,,,,,,,,,,
main-news,MSRpar,2012test,138,5,"But software license revenues, a measure financial analysts watch closely, decreased 21 percent to $107.6 million.","License sales, a key measure of demand, fell 21 percent to $107.6 million.",,,,,,,,,,,
main-news,MSRpar,2012test,139,4.25,"Dotson, 21, was arrested and charged on July 21 after reportedly telling authorities he shot Dennehy after Dennehy tried to shoot him.","Dotson was arrested July 21 after telling FBI agents he shot Dennehy when Dennehy tried to shoot him, according to the arrest warrant affidavit.",,,,,,,,,,,
main-news,MSRpar,2012test,140,4.75,Prosecutors contended that Mr. Durst had plotted the murder to assume Mr. Black's identity.,Prosecutors maintained that Durst murdered Black to try to assume Black's identity.,,,,,,,,,,,
main-news,MSRpar,2012test,141,2.75,That objection was cited by PeopleSoft's board in rejecting Oracle's offer.,PeopleSoft's board has recommended stockholders reject the offer.,,,,,,,,,,,
main-news,MSRpar,2012test,142,3.25,Several black Democratic leaders were attempting to arrange a meeting with DNC chairman Terry McAuliffe to discuss the layoffs.,Black Democratic leaders were trying to arrange a meeting with Democratic National Committee Chairman Terry McAuliffe to discuss the layoffs of 10 minority staffers at party headquarters.,,,,,,,,,,,
main-news,MSRpar,2012test,143,3.5,"These are dark days for our industry  Giovanni Bisignani, director general of the Geneva-based organization, said in a statement.",These are dark days for our industry the Geneva-based International Air Transport Association's Director-General Giovanni Bisignani said.,,,,,,,,,,,
main-news,MSRpar,2012test,144,3.6,"The seven other nations in the initiative are Britain, Germany, Italy, the Netherlands, Poland, Portugal and Spain.","Other nations involved in the PSI include Germany, Italy, the Netherlands, Poland, Portugal, Spain and Britain.",,,,,,,,,,,
main-news,MSRpar,2012test,148,3.333,"The average American makes four trips a day, 45 percent for shopping or errands.",Nearly half - 45 percent - are for shopping or running errands.,,,,,,,,,,,
main-news,MSRpar,2012test,151,4,"It's also a strategic win for Overture, given that Knight Ridder had the option of signing on Google's services.","It's also a strategic win for Overture, given that Knight Ridder had been using Google's advertising services.",,,,,,,,,,,
main-news,MSRpar,2012test,152,3.5,"In the weeks leading up to the execution, several Florida officials received anonymous threatening letters.","Several Florida officials connected to the case have received threatening letters, accompanied by rifle bullets.",,,,,,,,,,,
main-news,MSRpar,2012test,156,3.4,Hoy confirmed the woman's age Tuesday and said she has left on vacation with her family.,"Hoy confirmed the woman's age Tuesday and said she was on vacation with her family, but is expected to return this week.",,,,,,,,,,,
main-news,MSRpar,2012test,157,3.6,"BOSTON The Catholic archdiocese in Boston has offered $55 million to settle more than 500 clergy sex abuse lawsuits, according to a document obtained by The Associated Press.",The American Roman Catholic archdiocese of Boston has offered $55 million to settle more than 500 sex abuse lawsuits involving priests.,,,,,,,,,,,
main-news,MSRpar,2012test,158,3.6,"The 3{ hours of recordings include conversations between police, firefighters and other emergency workers, as well as media inquiries.","Among them are conversations between police, firefighters and other emergency workers, as well as media inquiries.",,,,,,,,,,,
main-news,MSRpar,2012test,159,2,"The 30-year bond US30YT=RR jumped 20/32, taking its yield to 4.14 percent from 4.18 percent.",The 30-year bond US30YT=RR dipped 14/32 for a yield of 4.26 percent from 4.23 percent.,,,,,,,,,,,
main-news,MSRpar,2012test,160,3.6,"But he is the only candidate who has won national labor endorsements so far, picking up his 11th union on Tuesday when the United Steelworkers of America endorsed him.","But he is the only candidate who has won national labor endorsements so far, picking up his 11th on Tuesday.",,,,,,,,,,,
main-news,MSRpar,2012test,161,1.6,"Oracle shares fell 27 cents, or 2 percent, to $13.09.","Oracle shares also rose on the news, up 15 cents to $13.51 on the Nasdaq.",,,,,,,,,,,
main-news,MSRpar,2012test,162,4.6,"North American futures pointed to a sub-par start to trading on Tuesday, with investors ready to get their first taste of quarterly earnings.","North American stock markets got off to a slow start Tuesday, with investors ready to get their first taste of quarterly earnings.",,,,,,,,,,,
main-news,MSRpar,2012test,166,3.6,"The market's broader gauges also posted big gains, having climbed higher for four consecutive weeks.","The broader market also retreated, having climbed higher for four consecutive weeks.",,,,,,,,,,,
main-news,MSRpar,2012test,167,3,Jim Furyk celebrated his first Father's Day as a father by winning his first major golf championship.,"His first Father's Day as a dad, his first major as a champion.",,,,,,,,,,,
main-news,MSRpar,2012test,168,2.4,"They passed through the Lemelson Medical, Educational and Research Foundation Limited Partnership in 2001 to Syndia.",It said the patents were allegedly assigned to Syndia in 2001 through the Lemelson Medical Educational and Research Foundation Limited Partnership.,,,,,,,,,,,
main-news,MSRpar,2012test,169,1.2,The SIA says the DRAM market is expected to grow 2.9 percent to $15.7 billion in 2003 and 43 percent to $22.5 billion in 2004.,The Americas market will decline 2.1 percent to $30.6 billion in 2003 and then grow 15.7 percent to $35.4 billion in 2004.,,,,,,,,,,,
main-news,MSRpar,2012test,170,3.4,Morrill's wife Ellie sobbed and hugged Bondeson's sister-in-law during the service.,At the service Morrill's widow Ellie sobbed and hugged Bondeson's sister-in-law as people consoled her.,,,,,,,,,,,
main-news,MSRpar,2012test,175,3,Mr. Grassley and Mr. Baucus rejected any disparity in drug benefits.,Grassley and Baucus said they had rejected that approach in their plan.,,,,,,,,,,,
main-news,MSRpar,2012test,177,3.4,In the year-ago quarter the steelmaker recorded a profit of $16.2 million,or 15 cents per share on sales of $1.14 billion. In the second quarter last year AK Steel reported a profit of $16.2 million or 15 cents a share.,,,,,,,,,,,
main-news,MSRpar,2012test,179,1.8,The Nasdaq had a weekly gain of 17.27 or 1.2 percent closing at 1520.15 on Friday.,The tech-laced Nasdaq Composite .IXIC rallied 30.46 points or 2.04 percent to 1520.15.,,,,,,,,,,,
main-news,MSRpar,2012test,182,3.5,It was brazen intimidation to keep people on the reservation said a Republican who attended but did not want to be named.,It was a brazen attempt at intimidation said a Republican legislator who attended the meeting.,,,,,,,,,,,
main-news,MSRpar,2012test,183,2.75,"No charges were announced, but the statement said legal proceedings were expected Monday.",An FBI statement said legal proceedings were expected Monday in federal court in Baltimore.,,,,,,,,,,,
main-news,MSRpar,2012test,184,2.6,The dead woman was also wearing a ring and a Cartier watch.,It's a blond-haired woman wearing a Cartier watch on her wrist the source said.,,,,,,,,,,,
main-news,MSRpar,2012test,185,2.2,"The tech-heavy Nasdaq Stock Markets composite index added 14.17 points or 0.94 per cent to 1,517.05.","The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.",,,,,,,,,,,
main-news,MSRpar,2012test,189,4.75,"But the FBI never kept tabs on al-Bayoumi - even though it had received information that he was a Saudi agent, the document says.","But the bureau never kept tabs on al-Bayoumiƒ??despite receiving prior information he was a secret Saudi agent, the report says.",,,,,,,,,,,
main-news,MSRpar,2012test,190,1.5,"It's going to happen  said Jim Santangelo, president of the Teamsters Joint Council 42 in El Monte.","That really affects the companies big time  said Jim Santangelo, president of the Teamsters Joint Council 42 in El Monte.",,,,,,,,,,,
main-news,MSRpar,2012test,192,3.75,"He was released on $3-million bail and immediately returned to Las Vegas, where he had been filming a video.","After posting $3 million bail, Jackson flew to Las Vegas, where he had been working on a video.",,,,,,,,,,,
main-news,MSRpar,2012test,193,3.5,Gartner analysts said that businesses are not yet feeling confident enough to upgrade corporate PCs.,"What's more, companies are not feeling confident enough to replace older PCs, the analyst firm said.",,,,,,,,,,,
main-news,MSRpar,2012test,195,1.5,"As of Tuesday, almost 250 health-care workers were in quarantine.","In addition, 6,800 people were in quarantine and thousands of health-care workers in working quarantine.",,,,,,,,,,,
main-news,MSRpar,2012test,197,3.2,Brian Brabazon said his son would get upset but then turn around and befriend his taunters.,"Her son would get upset, his mom said, but then turn around and befriend his taunters.",,,,,,,,,,,
main-news,MSRpar,2012test,198,2.2,"The tech-heavy Nasdaq Stock Markets composite index added 1.16 points to 1,504.04.","The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.",,,,,,,,,,,
main-news,MSRpar,2012test,199,2.4,"The technology-laced Nasdaq Composite Index dipped 0.08 of a point to 1,646.","The technology-laced Nasdaq Composite Index <.IXIC> added 1.92 points, or 0.12 percent, at 1,647.94.",,,,,,,,,,,
main-news,MSRpar,2012test,201,3,He told the jury Stubbs is a cold calculating killer.,District Attorney Dave Lupas reminded jurors that Stubbs is a cold calculating killer.,,,,,,,,,,,
main-news,MSRpar,2012test,202,1.8,Likewise the 30-year bond <US30YT=RR> slid 1-11/32 for a yield of 4.38 percent up from 4.30 percent.,The 30-year bond US30YT=RR jumped 20/32 taking its yield to 4.14 percent from 4.18 percent. taking its yield to 4.14 percent from 4.18 percent.,,,,,,,,,,,
main-news,MSRpar,2012test,203,2.4,A seventh victim a woman died Tuesday night in the burn unit at childrens Hospital Medical Center of Akron.,A seventh person a 21-year-old woman was in critical condition in the burn unit at Akron Children's Hospital.,,,,,,,,,,,
main-news,MSRpar,2012test,204,3.533,The men were immediately flown to nearby Botswana on a chartered Air Malawi flight,Malawi intelligence officials said on condition of anonymity. The men were flown to nearby Botswana on an Air Malawi flight the officials said.,,,,,,,,,,,
main-news,MSRpar,2012test,207,4.75,In exchange North Korea would be required to end its nuclear weapons program.,In return we expect North Korea to give up nuclear weapons.,,,,,,,,,,,
main-news,MSRpar,2012test,208,3.333,We condemn and denounce the Governing Council which is headed by the United StatesMoqtada al-Sadr said.,"We condemn the Governing Council headed by the United States Sadr,said in a fiery sermon at Koufa mosque near Najaf.",,,,,,,,,,,
main-news,MSRpar,2012test,209,5,Sendmail said the system can even be set up to permit business-only usage.,"The product can be instructed to permit business-only use, according to Sendmail.",,,,,,,,,,,
main-news,MSRpar,2012test,211,3,That exploit works on unpatched Windows 2000 machines with Service Pack 3 and 4.,Both Counterpane and iDefense contend that the exploit works effectively against Windows 2000 systems running Service Pack 3 and 4.,,,,,,,,,,,
